Vertical 1,Vertical 2,Noticia (link),Etiqueta,Etiqueta específica,etiqueta 3,Región,Personalidad destacada,...9,Fecha,Diario,Si,Me gusta,Simpatía,Asombro,Diversión,Descreimiento,Tristeza,Enojo,Me importa,Likes,Comentarios...22,Compartidos,Interacciones,Cuerpo del Post,Cuerpo de la noticia,Comentarios...27,Link del comentario
Salud,,https://www.facebook.com/LaVoz.com.ar/posts/pfbid0QxgSbU1gNEQZunhcG4iCF9FpZWdTwjKVayEc8gYGzsP14AfUU8nYvufvrd3iLiDul,Viruela de mono,Casos Arg,,Nacional,,,17/7/2022,La Voz del Interior,Si,85,1,47,0,67,23,3,2,,44,52,324,"La mediana de edad de los casos de viruela símica es de 34 años, con un mínimo de 26 y un máximo de 45. Todos se registraron en hombres. Hay un caso sospechoso en Córdoba.","Ya son 13 los casos confirmados de viruela del mono en el país
Viruela Símica. Hay un caso sospechoso en Córdoba. (Archivo)
Viruela Símica. Hay un caso sospechoso en Córdoba. (Archivo)
LO MÁS LEÍDO
Jonathan Romo
SUCESOS
Quién era Jonatan Romo, el joven de La Falda cuya muerte sacudió a la Policía de Córdoba
1
Angileri habló como nuevo jugador del Getafe
FÚTBOL
Lo “colgaron” en River por no querer renovar y ahora fue presentado en un club de Europa
2
Restaurante Socavones, en la bodega Terra Camiare de Colonia Caroya.
COMER Y BEBER
El único restaurante de bodega en Córdoba que, además, sirve platos abundantes
3
Feriados 2022: ¿Cuántos fines de semana largos tendrá el calendario?
CIUDADANOS
Feriados 2022: el calendario completo
4
Batakis
POLÍTICA
Batakis dijo que la falta de dólares es “desesperante” y alertó por una situación “delicada”
5
La mediana de edad de los casos de viruela símica es de 34 años, con un mínimo de 26 y un máximo de 45. Todos se registraron en hombres. Hay un caso sospechoso en Córdoba.

Redacción LAVOZ
Redacción LAVOZ,
Télam
Domingo, 17 de julio de 202222:46 hs
El país registra 13 casos de viruela del mono confirmados hasta el 14 de julio, de los cuales 12 presentaron antecedentes de viaje previo al inicio de los síntomas, se informó hoy.

Según el Boletín Epidemiológico Nacional (BEN) presentado este domingo por el Ministerio de Salud, la mediana de edad de los casos de viruela símica es de 34 años, con un mínimo de 26 y un máximo de 45.

Todos los casos corresponden al género masculino, agregó el BEN.

Viruela del mono.
Córdoba: confirman dos nuevos casos de viruela del mono
Según el desagregado, la Ciudad de Buenos Aires registra cinco casos confirmados de viruela símica; la provincia de Buenos Aires, 4; Córdoba, 3; y Mendoza, 1.

En tanto que hay dos casos sospechosos, uno en CABA y otro en Córdoba, agregó el BEN.

El director de Epidemiología del Ministerio, Carlos Giovacchini, subrayó que el el BEN “es el resultado del proceso de recolección sistemática, análisis y difusión de información que se realiza a lo largo y ancho de todo el territorio argentino realizado por más de 21.000 personas que participan del Sistema Nacional de Vigilancia de la Salud”.

Viruela del mono
España supera los 2.000 casos de viruela del mono
VIRUELA DEL MONO EN CÓRDOBA
El Ministerio de Salud de Córdoba informó el pasado miércoles sobre el diagnóstico de viruela del mono en dos hombres de 29 y 34 años de edad, oriundos de Córdoba, con antecedente de viaje a Europa.

Es importante destacar que uno de los pacientes se confirmó por técnicas de laboratorio y el otro, por los días de evolución, por nexo epidemiológico. Los estudios fueron realizados en el Laboratorio Central de la Provincia y el caso confirmado por la ANLIS Malbrán.",,
Salud,,https://www.facebook.com/Cadena3Argentina/posts/pfbid02CyELJ8EtkuAgtCJf69Ys56uKLTLnEpax5EbsbkgTVb8VUs2UxumJ8pdZQEKVgoX6l,Viruela de mono,Casos Arg,,Nacional,,,18/7/2022,Cadena 3,Si,66,2,38,0,41,15,5,0,,67,32,266,"La Ciudad de Buenos Aires tiene cinco casos confirmados, cuatro en la provincia de Buenos Aires, tres en Córdoba y uno en Mendoza
","www.cadena3.com /noticia/sociedad/en-argentina-hay-13-casos-confirmados-de-viruela-del-mono_330931
Viruela del mono: hay 13 casos confirmados en Argentina
Cadena 3 Argentina2-2 minutes 18/7/2022
Según el Boletín Epidemiológico Nacional (BEN) que dio a conocer el Ministerio de Salud en el día de ayer, hay confirmados 13 casos de viruela del mono en el país. De los casos informaos, 12 presentaron antecedentes de viaje previo al inicio de los síntomas. Además, se informó que los contagiados son todos de género masculino y tienen entre 26 y 45 años.

De acuerdo al desagregado, la Ciudad de Buenos Aires registra cinco casos confirmados de viruela símica; la provincia de Buenos Aires, 4; Córdoba, 3; y Mendoza, 1. En tanto que hay dos casos sospechosos, uno en CABA y otro en Córdoba, agregó el BEN.

El director de Epidemiología del Ministerio, Carlos Giovacchini, destacó que el BEN ""es el resultado del proceso de recolección sistemática, análisis y difusión de información que se realiza a lo largo y ancho de todo el territorio argentino realizado por más de 21.000 personas que participan del Sistema Nacional de Vigilancia de la Salud”.

Los inicios del brote en el país

En Argentina, los primeros dos casos de viruela de mono se confirmaron el 27 de mayo. Ese día, un residente de la Provincia que había viajado a España fue diagnosticado con la enfermedad, mientras que un español que se encontraba de visita corrió la misma suerte. Los casos no tenían conexión entre sí; ambos permanecieron aislados y tuvieron buen estado de salud durante la enfermedad.

En la ciudad de Buenos Aires, el día 9 de junio se confirmó el primer caso de viruela símica: el afectado fue un hombre de 36 que no tenía antecedentes de viaje. Cursó la enfermedad con buen estado de salud general y tratamiento sintomático.",,
Seguridad,,https://www.instagram.com/p/CgAlZCnMxhm/,Violencia Institucional,Muere Jonatan Romo en la comisaría donde estaba detenido,La Falda,Provincial,,,14/7/2022,Instagram-ElDoceTv,Si,,,,,,,,,3498,149,,3647,,"Acusados de homicido: la autopsia determinó que Jonatan Romo murió por asfixia mecánica

👮🏻‍♂️ El fiscal Raúl Ramírez confirmó a #eldoce que seis policías fueron detenidos por la muerte de Romo en la comisaría de La Falda.

❌ Cuatro de los efectivos son acusados de homicidio y otros dos están imputados por el delito de encubrimiento.

😔 La autopsia determinó que el fallecimiento de Jonatan Romo se produjo por ""asfixia mecánica"". ""Está confirmado que es una muerte violenta, generada por terceros. Y los terceros que hubo en estas cricunstancias fueron personal policias"", detalló el fiscal en #TelenocheCordoba.

🔴 Y agregó: ""Hay múltiples lesiones. Es un hecho doloso sin duda"".

👉🏻 Romo murió el domingo después de ser detenido por disturbios. El hombre presentaba un brote psicótico, según señalaron sus familiares, y las autoridades del Ministerio de Seguridad de la Provincia determinaron que no se siguieron los protocolos indicados para este tipo de casos.
",,
Seguridad,,https://www.instagram.com/p/CgDY4HYM_4G/,Violencia Institucional,Muere Jonatan Romo en la comisaría donde estaba detenido,La Falda,Provincial,,,15/7/2022,Instagram-ElDoceTv,Si,,,,,,,,,1705,110,,1815,"Verificado
""Vamos tachando seres humanos y familias destruidas"" 💔

👉🏻 @mslaciar, la mamá de Blas, se refirió al crimen de Jonatan Romo en La Falda y responsabilizó a la Provincia.

😔 ""Cuando me enteré del caso me dolió mucho, me puse en el lugar de esa familia"", nos contó en #TelenocheCordoba.

🗣 Y agregó: ""Cuando la policía hace algo malo hay una corporación que lo cubre"".

🔵 Sobre esta línea, apuntó contra el Gobierno y exigió la renuncia del ministro de Seguridad, Alfonso Mosquera. ""Que el Gobernador se haga cargo del Ministro que tiene"", enfatizó.
",,,
Seguridad,,https://www.instagram.com/p/CgA-QQXsxaI/,Violencia Institucional,Muere Jonatan Romo en la comisaría donde estaba detenido,La Falda,Provincial,,,14/7/2022,Instagram-ElDoceTv,Si,,,,,,,,,1450,116,,1566,,"La jefa de Policía condenó el crimen en la comisaría y no descartó más agentes involucrados 🔴

👮🏻‍♀️ Liliana Zárate Belletti, jefa de la Policía de Córdoba, convocó a una conferencia de prensa y se refirió por primera vez al homicidio de Jonatan Romo en la comisaría de La Falda.

🗣️ En #TelenocheCórdoba la funcionaria sostuvo: ""Sabemos que no se cumplieron los protocolos que tienen que ver con el uso racional de la fuerza"". Y afirmó: ""Nosotros no tapamos ni apañamos estas conductas, lo que hacemos es ponernos inmediatamente en acción"".

👉🏻 Por último, la jefa concluyó: ""Desconozco si habría más policías involucrados. Administrativamente se removió a todos los que tenían la responsabilidad de la capacitación del protocolo"".

#eldoce #jefaturadepolicia #lafalda #policia #cordoba #jefadepolicia #homicidio",,
Seguridad,,https://www.instagram.com/p/CgNwRsnsdTf/,Violencia Institucional,Muere Jonatan Romo en la comisaría donde estaba detenido,La Falda,Provincial,,,19/7/2022,Instagram-ElDoceTv,Si,,,,,,,,,1180,60,,1240,"Cuestionamiento a la capacitación policial tras el caso Jonatan Romo: ""Esto puede seguir pasando"" ⚠️

🔴 ""Las predicciones que tengo sobre las estadísticas de destreza policial, inclusive en el área cognitiva, es que estamos en problemas"", denunció Julio Faría, uno de los jefes que fue separado de la Policía de Córdoba tras el crimen en la comisaría de La Falda.

❌ El ahora exdirector general de Recursos Humanos reveló en exclusiva en #TelenocheCordoba que fue notificado ""con un llamado telefónico del ministro Mosquera"", pero aclaró que todavía no firmó nada sobre su pase a retiro.

🚓🚨 Sobre los cuestionamientos a las capacitaciones aseguró que la policía no tiene un polígono de tiro propio: ""Tiene dos pero están inhabilitados"", sostuvo. Los agentes entrenan en un espacio alquilado pero ""no se pueden desarrollar otras actividades que no sean de tiro deportivo"".

❌ Así, suplen esta falencia con polígonos virtuales. ""Para que se den una idea, es como un juego de Play, hay dos para toda la Policía de la Provincia y no puede reemplazar a la actividad de tiro real"", agregó.

¿Qué dice la policía?

👮🏻 Frente a estas acusaciones, el subjefe de la Policía se defendió y aseguró: “Estamos ocupados de elevar la capacitación del personal"". Además, agregó: “Se tiene que rendir una condición anual de tiro. Se toman evaluaciones, se controlan los resultados"".

🗣️ ""Los que desaprueban, entran en un programa de entrenamiento y seguimiento"", cerró.

La nota completa en eldoce.tv (link en bio)",,,
Seguridad,,https://www.instagram.com/p/CgPCoHbM2sb/,Violencia Institucional,Críticas a la formación y capacitación en la Policía de Córdoba,,Provincial,,,20/7/2022,Instagram-Cadena3,Si,,,,,,,,,1020,171,,1191,"VIOLENCIA POLICIAL 🚨
La formación y capacitación en la Policía de Córdoba ha quedado en el centro de las críticas luego de que #Cadena3 revelara informes internos de la fuerza en los que consta que al menos cuatro de cada 10 policías no superan las pruebas de tiro, que más del 60 por ciento no logra el apto físico y que son más los los desaprobados que los aprobados en las clases de manejo

Luego de la muerte de Romo, desde el Ministerio de Seguridad, cartera que dirige Alfonso Mosquera, se anunció el retiro obligatorio del director General de Recursos Humanos, Formación Profesional y Entrenamiento de la Policía, Julio César Faría 🚓🚔

A una semana, el policía desplazado decidió contar ""su verdad"". No sólo que ratificó la sensible estadística que dio a conocer Cadena 3 en cuanto a las gruesas falencias advertidas en el estado actual de las capacidades de los uniformados cordobeses, sino que remarcó que la principal institución de seguridad de la provincia no cuenta con recursos básicos como un polígono propio, una pista de atletismo o una pileta de natación. ""No hay balas para las prácticas de tiro"", denunció quien hasta hace una semana tenía un rol clave en la Plana Mayor de la Policía 📻📲",,,
Seguridad,,https://www.facebook.com/eldocetv/posts/pfbid0NFk9CXYEnJJWDkwbwQqTEL4eJjX3Buc53HJNNX8y9g1Mun4j2zNfNKuhxEyHSmscl,Violencia Institucional,Muere Jonatan Romo en la comisaría donde estaba detenido,La Falda,Provincial,,,14/7/2022,ElDoceTv,Si,301,5,16,0,1,141,211,0,,351,100,1126,"Confirman el homicidio en la comisaría de La Falda
El fiscal Ramírez sostuvo en Telenoche que Jonatan Romo tuvo una muerte violenta provocada por los policías que lo detuvieron. Ordenó la detención de seis efectivos. Los detalles de la investigación.","El fiscal confirmó que hubo una “muerte violenta” en la comisaría de La Falda
Raúl Ramírez ordenó la detención de seis policías. Cuatro son acusados de homicidio agravado por el fallecimiento de Jonatan Romo. ""Hay múltiples lesiones"", señaló el funcionario en diálogo con Telenoche. Detalló las pruebas hay en la causa y cómo sigue la investigación.",,
Seguridad,,https://www.facebook.com/eldocetv/posts/pfbid0mMRc4esb6JxRov3grVCE9HJoobk6Sr9rGcxAwaEVMsedRCijU3q7D4riTDUL5Q9Cl,Violencia Institucional,Muere Jonatan Romo en la comisaría donde estaba detenido,La Falda,Provincial,,,14/7/2022,ElDoceTv,Si,335,3,13,0,103,20,132,2,,417,56,1081,"Repercusiones en la Fuerza
Liliana Zárate Belletti llamó a una conferencia de prensa y habló sobre la muerte de Jonatan Romo en la comisaría de La Falda. ""Se excedieron en su conducta"".","La jefa de Policía condenó el crimen en la comisaría y no descartó más agentes involucrados
Liliana Zárate Belletti brindó una conferencia de prensa luego de la detención de seis oficiales y puso el foco en el protocolo incumplido.
Por: El DoceJueves 14 de Julio de 2022
jefa-policia-muerte-comisaria-la-falda
En conferencia de prensa, Zárate se refirió a la detención de los policías. Foto: Julieta Pelayo/ElDoce.
Liliana Zárate Belletti, jefa de la Policía de Córdoba, convocó a una conferencia de prensa y se refirió por primera vez al homicidio de Jonatan Romo en la comisaría de La Falda. Ocurrió horas después de la detención de cinco suboficiales y un subcomisario de la localidad. 

""Transmitimos nuestras condolencias a la familia. Desde el primer momento nos pusimos a disposición de la fiscal Kelm y luego con el doctor Ramírez para llegar hasta las últimas consecuencias para esclarecer este lamentable hecho"", aseveró la funcionaria. 

La jefa de la Policía se expresó totalmente en contra de lo que ocurrió el fin de semana en el Valle de Punilla y aseguró que desde la Fuerza ""bregamos por los Derechos Humanos"".

+ MIRÁ MÁS: Todo sobre la muerte de Jonatan Romo en La Falda

""Sabemos que no se observaron ni se llevaron a cabo los protocolos en lo que respecta al uso racional de la fuerza y el protocolo de intervención de fuerzas de seguridad para el traslado de personas con algún tipo de enfermedad de salud mental o bajo algún efecto de estupefacientes"", agregó desde la sede de la Jefatura.

Zárate Belletti afirmó que ""nunca"" permitirán que algún policía ""se exceda de su condición"". Y detalló: ""Por eso hemos dispuesto relevar en sus cargos a quienes tenían la responsabilidad de hacer cumplimentar los protocolos que se establecieron hace dos meses"". 

Por otro lado, sostuvo: ""Desconozco si habría más policías involucrados. Administrativamente se removió a todos los que tenían la responsabilidad de la capacitación del protocolo"". 

Entre otras cosas, la jefa comunicó que este jueves se nombró al nuevo Director General de Recursos Humanos, Esteban Barisone. 

+ VIDEO: la conferencia de prensa de Liliana Zárate:

Play Video
Además, recordó que las personas detenidas ""con algún tipo de enfermedad de salud mental deben ser trasladadas a un centro de salud y no a una dependencia policial"", haciendo hincapié nuevamente sobre el protocolo incumplido en La Falda.

""Esta institución no va a permitir situación así, nosotros no apañamos estas conductas, todo lo contrario, nos ponemos en acción inmediatamente, como son los desplazamientos, la investigación y ponernos a disposición del fiscal"", sostuvo Zárate Belletti.

Por último, sobre Diego Bracamonte, removido de su cargo como jefe de la Departamental Punilla Norte, la jefa policial manifestó que el pase a retiro ""obedece solo a su desempeño en este caso en particular"", por lo que nada tiene que ver con su actuación en el caso Cecilia Basaldúa.",,
Seguridad,,https://www.facebook.com/eldocetv/posts/pfbid02ukcMHXr37mrUsNH4RCFLVk2LTHX3A5ay9uo8XPzgahWgWEVP5jBYgsReC5SeRfCpl,Violencia Institucional,Muere Jonatan Romo en la comisaría donde estaba detenido,La Falda,Provincial,,,14/7/2022,ElDoceTv,Si,215,0,9,0,6,245,87,1,,319,77,959,"“Lo dejaron sin oxígeno”
El testimonio del hermano del hombre fallecido en La Falda, y sus reproches al proceder policial.","Homicidio en La Falda: “Mi hermano le tenía miedo a la Policía”
El hermano de Jonatan Romo, Hernán, habló en Telenoche sobre el fallecimiento de su pariente. Aseguró que en diciembre del año pasado la policía ya lo había golpeado y que en ese entonces debió ser enviado al Hospital San Roque porque “lo dejaron sin oxígeno”.",,
